Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","792","Türkiye","040","Austria","5910","Export Quantity","01344.02","Cherries","2022","2022","t","407.17","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","031","Azerbaijan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.03","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","048","Bahrain","5910","Export Quantity","01344.02","Cherries","2022","2022","t","31.11","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","112","Belarus","5910","Export Quantity","01344.02","Cherries","2022","2022","t","364.02","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","096","Brunei Darussalam","5910","Export Quantity","01344.02","Cherries","2022","2022","t","3.02","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","100","Bulgaria","5910","Export Quantity","01344.02","Cherries","2022","2022","t","246","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","116","Cambodia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","65.7","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","120","Cameroon","5910","Export Quantity","01344.02","Cherries","2022","2022","t","2.8","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","124","Canada","5910","Export Quantity","01344.02","Cherries","2022","2022","t","19.54","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","124","Canada","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","4.66","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","152","Chile","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.75","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","344","China, Hong Kong SAR","5910","Export Quantity","01344.02","Cherries","2022","2022","t","438.59","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","196","Cyprus","5910","Export Quantity","01344.02","Cherries","2022","2022","t","194.14","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","203","Czechia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","15.84","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","208","Denmark","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1012.98","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","818","Egypt","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.7","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","250","France","5910","Export Quantity","01344.02","Cherries","2022","2022","t","60.7","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","268","Georgia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","438.69","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","276","Germany","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","276","Germany","5910","Export Quantity","01344.02","Cherries","2022","2022","t","15342.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","276","Germany","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.6","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","288","Ghana","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.48","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","300","Greece","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","356","India","5910","Export Quantity","01344.02","Cherries","2022","2022","t","85.85","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","360","Indonesia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","28.43","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","364","Iran (Islamic Republic of)","5910","Export Quantity","01344.02","Cherries","2022","2022","t","23.25","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","364","Iran (Islamic Republic of)","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.7","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","368","Iraq","5910","Export Quantity","01344.02","Cherries","2022","2022","t","7813.48","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","376","Israel","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.2","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","380","Italy","5910","Export Quantity","01344.02","Cherries","2022","2022","t","19.8","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","400","Jordan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","2.83","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","398","Kazakhstan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","77.75","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","404","Kenya","5910","Export Quantity","01344.02","Cherries","2022","2022","t","8.13","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","414","Kuwait","5910","Export Quantity","01344.02","Cherries","2022","2022","t","32.68","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","422","Lebanon","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.24","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","442","Luxembourg","5910","Export Quantity","01344.02","Cherries","2022","2022","t","20","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","442","Luxembourg","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","40","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","458","Malaysia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","160.69","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","462","Maldives","5910","Export Quantity","01344.02","Cherries","2022","2022","t","8.57","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","462","Maldives","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.02","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","480","Mauritius","5910","Export Quantity","01344.02","Cherries","2022","2022","t","25.46","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","524","Nepal","5910","Export Quantity","01344.02","Cherries","2022","2022","t","4.18","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","528","Netherlands (Kingdom of the)","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1116.41","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","578","Norway","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1157.08","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","512","Oman","5910","Export Quantity","01344.02","Cherries","2022","2022","t","28.4","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","616","Poland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","616","Poland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","220.4","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","634","Qatar","5910","Export Quantity","01344.02","Cherries","2022","2022","t","49.79","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","410","Republic of Korea","5910","Export Quantity","01344.02","Cherries","2022","2022","t","4.97","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","642","Romania","5910","Export Quantity","01344.02","Cherries","2022","2022","t","86.12","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","643","Russian Federation","5910","Export Quantity","01344.02","Cherries","2022","2022","t","24592.12","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","643","Russian Federation","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","577.16","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","690","Seychelles","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.51","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","702","Singapore","5910","Export Quantity","01344.02","Cherries","2022","2022","t","585.88","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","752","Sweden","5910","Export Quantity","01344.02","Cherries","2022","2022","t","831.46","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","752","Sweden","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","1.76","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","756","Switzerland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.11","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","760","Syrian Arab Republic","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1236.7","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","764","Thailand","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","804","Ukraine","5910","Export Quantity","01344.02","Cherries","2022","2022","t","46.65","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","784","United Arab Emirates","5910","Export Quantity","01344.02","Cherries","2022","2022","t","257.84","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","784","United Arab Emirates","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","826","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","121.63","A","Official figure"
